ts_utc,ts_ms,date_cn,base,symbol,oi_size,oi_delta_pct,funding_bp,funding_pctile,funding_positive_share,next_funding_ms
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,META,METAUSDT,8914.560000000005,-0.2022,0.0,90.0,10.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,GOOGL,GOOGLUSDT,61588.76999999999,-0.0116,3.49,92.0,35.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,SPY,SPYUSDT,13802.720000000008,-0.0212,0.94,93.0,15.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,QQQ,QQQUSDT,20289.02999999999,-0.0098,0.9,69.0,42.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,SOXL,SOXLUSDT,386496.5699999989,0.0623,2.58,83.0,28.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,HOOD,HOODUSDT,43370.580000000016,-0.1305,1.07,87.0,26.0,1790294400000
2026-09-24T16:29:29.102Z,1790267369102,2026-09-25,MRVL,MRVLUSDT,16760.650000000023,0.0168,0.0,74.0,26.0,1790294400000
2026-09-24T16:30:38.443Z,1790267438443,2026-09-25,TSLA,TSLAUSDT,44093.10000000004,-0.0452,0.0,78.0,22.0,1790294400000
2026-09-24T16:30:38.443Z,1790267438443,2026-09-25,NVDA,NVDAUSDT,72023.91999999993,0.1273,1.93,87.0,31.0,1790294400000
2026-09-24T16:30:38.443Z,1790267438443,2026-09-25,AAPL,AAPLUSDT,22786.799999999996,-0.0371,0.0,82.0,18.0,1790294400000
